ID,Sex,Population,Ancestral group,GOL,NOL,BNL,BBH,XCB,XFB,ZYB,AUB,WCB,ASB,BPL,NPH,NLH,JUB,NLB,MAB,MDH,MDB,OBH,OBB,DKB,NDS,WNB,SIS,ZMB,SSS,FMB,NAS,EKB,DKS,IML,XML,MLS,WMH,SOS,GLS,STB,FRC,FRS,FRF,PAC,PAS,PAF,OCC,OCS,OCF,FOL,NAR,SSR,PRR,DKR,ZOR,FMR,EKR,ZMR,AVR,BRR,VRR,LAR,OSR,BAR,NAA,PRA,BAA,NBA,BBA,BRA,SSA,NFA,DKA,NDA,SIA,FRA,PAA,OCA,RFA,RPA,ROA,BSA,SBA,SLA,TBA
2084,M,AINU,East Asian,5.293304824725,5.267858159063,4.672828834462,4.919980925828,4.96284463026,4.820281565605,4.948759890378,4.859812404362,4.406719247264,4.709530201312,4.653960350158,4.248495242049,3.931825632724,4.836281906952,3.295836866004,4.248495242049,3.401197381662,2.564949357462,3.610917912644,3.784189633918,3.044522437723,2.302585092994,1.481604540924,1.252762968495,4.624972813284,2.995732273554,4.624972813284,2.708050201102,4.644390899141,2.302585092994,3.66356164613,4.077537443906,2.639057329615,3.218875824868,1.609437912434,1.791759469228,4.762173934798,4.718498871295,3.295836866004,3.931825632724,4.820281565605,3.258096538021,4.110873864173,4.624972813284,3.433987204485,3.912023005428,3.637586159726,4.584967478671,4.574710978503,4.672828834462,4.454347296253,4.430816798843,4.418840607797,4.304065093204,4.330733340286,4.430816798843,4.795790545597,4.844187086459,4.770684624466,3.784189633918,2.833213344056,4.234106504597,4.276666119016,3.66356164613,4.343805421854,3.970291913552,3.912023005428,4.919980925828,4.990432586779,5.036952602414,4.532599493153,4.15888308336,4.85203026392,4.897839799951,4.762173934798,4.094344562222,4.127134385045,4.060443010546,5.129898714923,4.672828834462,4.394449154672,5.010635294096
2085,M,AINU,East Asian,5.252273428047,5.24174701506,4.663439094112,4.948759890378,4.997212273764,4.812184355372,4.955827057601,4.85203026392,4.343805421854,4.787491742782,4.663439094112,4.262679877041,3.988984046564,4.844187086459,3.295836866004,4.143134726392,3.332204510175,2.639057329615,3.610917912644,3.80666248977,3.135494215929,2.302585092994,2.282382385677,1.335001066732,4.584967478671,3.091042453358,4.663439094112,2.77258872224,4.691347882229,2.197224577336,3.433987204485,3.828641396489,2.397895272798,3.178053830348,1.609437912434,1.38629436112,4.787491742782,4.727387818712,3.258096538021,3.891820298111,4.736198448395,2.995732273554,4.204692619391,4.672828834462,3.526360524616,3.912023005428,3.496507561466,4.532599493153,4.54329478227,4.624972813284,4.394449154672,4.343805421854,4.35670882669,4.248495242049,4.276666119016,4.44265125649,4.820281565605,4.844187086459,4.770684624466,3.784189633918,2.833213344056,4.248495242049,4.248495242049,3.66356164613,4.382026634674,3.951243718581,3.871201010908,4.882801922586,4.983606621708,5.056245805348,4.584967478671,4.644390899141,4.867534450456,4.941642422609,4.744932128363,4.110873864173,4.025351690735,4.174387269896,5.123963979403,4.653960350158,4.454347296253,5.010635294096
2086,M,AINU,East Asian,5.204006687077,5.187385805841,4.672828834462,4.941642422609,4.948759890378,4.718498871295,4.927253685157,4.836281906952,4.343805421854,4.682131227124,4.595119850135,4.143134726392,3.871201010908,4.812184355372,3.135494215929,4.189654742026,3.433987204485,2.639057329615,3.610917912644,3.761200115694,3.044522437723,2.302585092994,2.151762203259,1.481604540924,4.54329478227,2.708050201102,4.624972813284,2.833213344056,4.644390899141,2.484906649788,3.66356164613,3.970291913552,2.484906649788,3.091042453358,1.609437912434,1.609437912434,4.672828834462,4.700480365792,3.178053830348,3.970291913552,4.672828834462,2.995732273554,4.025351690735,4.605170185988,3.295836866004,4.094344562222,3.66356164613,4.532599493153,4.477336814478,4.584967478671,4.430816798843,4.382026634674,4.369447852467,4.276666119016,4.304065093204,4.418840607797,4.753590191106,4.770684624466,4.718498871295,3.871201010908,3.218875824868,4.174387269896,4.369447852467,3.555348061489,4.382026634674,3.931825632724,3.891820298111,4.976733742421,4.96284463026,4.997212273764,4.532599493153,4.488636369732,4.890349128222,4.934473933131,4.804021044733,4.127134385045,4.025351690735,4.143134726392,5.220355825078,4.691347882229,4.488636369732,4.919980925828
2087,M,AINU,East Asian,5.293304824725,5.283203728738,4.709530201312,4.990432586779,5.010635294096,4.762173934798,4.983606621708,4.867534450456,4.394449154672,4.744932128363,4.691347882229,4.262679877041,3.951243718581,4.836281906952,3.218875824868,4.304065093204,3.610917912644,2.708050201102,3.433987204485,3.713572066704,3.178053830348,2.484906649788,2.282382385677,1.280933845462,4.574710978503,3.178053830348,4.644390899141,2.890371757896,4.644390899141,2.302585092994,3.713572066704,4.077537443906,2.564949357462,3.367295829986,1.791759469228,1.609437912434,4.744932128363,4.753590191106,3.044522437723,4.025351690735,4.795790545597,3.178053830348,4.127134385045,4.663439094112,3.367295829986,3.871201010908,3.688879454114,4.553876891601,4.624972813284,4.691347882229,4.406719247264,4.418840607797,4.35670882669,4.290459441148,4.35670882669,4.465908118655,4.804021044733,4.859812404362,4.804021044733,3.912023005428,3.258096538021,4.248495242049,4.290459441148,3.637586159726,4.394449154672,3.931825632724,3.871201010908,4.844187086459,4.955827057601,5.023880520846,4.49980967033,4.672828834462,4.941642422609,4.919980925828,4.804021044733,4.143134726392,4.077537443906,4.094344562222,5.198497031266,4.672828834462,4.430816798843,4.912654885736
2088,M,AINU,East Asian,5.247024072161,5.231108616855,4.700480365792,4.927253685157,4.941642422609,4.762173934798,4.927253685157,4.804021044733,4.343805421854,4.709530201312,4.615120516841,4.204692619391,3.951243718581,4.804021044733,3.295836866004,4.219507705176,3.401197381662,2.639057329615,3.555348061489,3.737669618283,3.135494215929,2.564949357462,2.509599262378,1.704748092238,4.564348191468,3.091042453358,4.63472898823,2.944438979166,4.63472898823,2.302585092994,3.610917912644,3.951243718581,2.564949357462,3.178053830348,1.791759469228,1.609437912434,4.709530201312,4.727387818712,3.135494215929,3.931825632724,4.736198448395,3.178053830348,4.15888308336,4.553876891601,3.332204510175,3.931825632724,3.688879454114,4.595119850135,4.574710978503,4.624972813284,4.454347296253,4.406719247264,4.394449154672,4.317488113536,4.343805421854,4.430816798843,4.779123493112,4.812184355372,4.718498871295,3.80666248977,2.995732273554,4.15888308336,4.369447852467,3.610917912644,4.330733340286,3.970291913552,3.931825632724,4.875197323201,4.934473933131,5.023880520846,4.418840607797,4.564348191468,4.905274778438,4.897839799951,4.779123493112,4.127134385045,4.077537443906,4.043051267835,5.204006687077,4.682131227124,4.465908118655,4.969813299576
2089,M,AINU,East Asian,5.209486152841,5.198497031266,4.584967478671,4.882801922586,4.941642422609,4.744932128363,4.912654885736,4.804021044733,4.35670882669,4.718498871295,4.605170185988,4.174387269896,3.951243718581,4.787491742782,3.135494215929,4.174387269896,3.178053830348,2.564949357462,3.526360524616,3.688879454114,3.044522437723,2.197224577336,1.704748092238,0.530628251062,4.584967478671,3.218875824868,4.564348191468,2.564949357462,4.584967478671,2.07944154168,3.555348061489,3.988984046564,2.484906649788,3.091042453358,1.791759469228,1.38629436112,4.682131227124,4.744932128363,3.295836866004,3.871201010908,4.700480365792,3.258096538021,3.951243718581,4.564348191468,3.218875824868,3.85014760171,3.610917912644,4.54329478227,4.605170185988,4.63472898823,4.44265125649,4.430816798843,4.382026634674,4.330733340286,4.343805421854,4.394449154672,4.787491742782,4.85203026392,4.700480365792,3.66356164613,2.564949357462,4.290459441148,4.234106504597,3.637586159726,4.330733340286,4.060443010546,3.828641396489,4.836281906952,5.010635294096,5.056245805348,4.595119850135,4.762173934798,4.859812404362,4.859812404362,4.828313737302,4.15888308336,4.043051267835,4.077537443906,5.141663556503,4.644390899141,4.465908118655,5.04985600725
2090,M,AINU,East Asian,5.231108616855,5.209486152841,4.653960350158,4.941642422609,4.969813299576,4.787491742782,4.948759890378,4.897839799951,4.290459441148,4.779123493112,4.584967478671,4.234106504597,4.007333185232,4.795790545597,3.332204510175,4.219507705176,3.433987204485,2.639057329615,3.555348061489,3.688879454114,3.044522437723,2.07944154168,1.824549292051,0.788457360364,4.605170185988,2.708050201102,4.595119850135,2.397895272798,4.595119850135,1.609437912434,3.66356164613,4.025351690735,2.639057329615,3.218875824868,1.791759469228,1.609437912434,4.700480365792,4.753590191106,3.332204510175,3.988984046564,4.644390899141,2.890371757896,3.988984046564,4.644390899141,3.496507561466,3.951243718581,3.583518938456,4.54329478227,4.521788577049,4.584967478671,4.418840607797,4.406719247264,4.406719247264,4.330733340286,4.343805421854,4.343805421854,4.820281565605,4.836281906952,4.744932128363,3.784189633918,2.77258872224,4.174387269896,4.330733340286,3.688879454114,4.35670882669,3.988984046564,3.85014760171,4.990432586779,5.043425116919,5.111987788357,4.653960350158,4.691347882229,4.85203026392,4.955827057601,4.744932128363,4.143134726392,3.931825632724,4.174387269896,5.105945473901,4.663439094112,4.510859506517,5.030437921392
2091,M,AINU,East Asian,5.262690188905,5.24174701506,4.700480365792,4.934473933131,5.017279836815,4.844187086459,4.927253685157,4.812184355372,4.343805421854,4.700480365792,4.682131227124,4.248495242049,3.951243718581,4.812184355372,3.332204510175,4.15888308336,3.332204510175,2.564949357462,3.610917912644,3.688879454114,3.135494215929,2.397895272798,2.163323025661,1.38629436112,4.624972813284,3.135494215929,4.584967478671,2.708050201102,4.605170185988,2.197224577336,3.555348061489,3.988984046564,2.564949357462,3.332204510175,1.38629436112,1.38629436112,4.812184355372,4.709530201312,3.367295829986,3.891820298111,4.770684624466,3.258096538021,4.094344562222,4.63472898823,3.332204510175,3.85014760171,3.688879454114,4.605170185988,4.615120516841,4.682131227124,4.465908118655,4.465908118655,4.454347296253,4.369447852467,4.35670882669,4.49980967033,4.820281565605,4.867534450456,4.753590191106,3.85014760171,2.77258872224,4.248495242049,4.290459441148,3.610917912644,4.35670882669,3.931825632724,3.931825632724,4.875197323201,4.983606621708,5.036952602414,4.532599493153,4.553876891601,4.820281565605,4.882801922586,4.812184355372,4.060443010546,4.077537443906,4.127134385045,5.123963979403,4.672828834462,4.477336814478,5.017279836815
2092,M,AINU,East Asian,5.252273428047,5.24174701506,4.700480365792,4.927253685157,4.976733742421,4.804021044733,5.003946305945,4.897839799951,4.406719247264,4.753590191106,4.663439094112,4.219507705176,3.970291913552,4.905274778438,3.4657359028,4.262679877041,3.401197381662,2.639057329615,3.610917912644,3.80666248977,3.178053830348,2.484906649788,2.32238772029,1.435084525289,4.615120516841,3.091042453358,4.691347882229,3.135494215929,4.691347882229,2.639057329615,3.688879454114,4.060443010546,2.564949357462,3.091042453358,1.945910149055,1.098612288668,4.779123493112,4.762173934798,3.295836866004,3.951243718581,4.709530201312,2.890371757896,3.988984046564,4.63472898823,3.367295829986,3.828641396489,3.66356164613,4.615120516841,4.595119850135,4.682131227124,4.454347296253,4.44265125649,4.382026634674,4.276666119016,4.35670882669,4.454347296253,4.812184355372,4.828313737302,4.787491742782,3.761200115694,2.77258872224,4.219507705176,4.317488113536,3.610917912644,4.317488113536,4.007333185232,3.912023005428,4.890349128222,4.897839799951,4.969813299576,4.49980967033,4.615120516841,4.867534450456,4.969813299576,4.795790545597,4.127134385045,3.988984046564,4.043051267835,5.159055299215,4.709530201312,4.44265125649,5.030437921392
2093,M,AINU,East Asian,5.23644196283,5.23644196283,4.672828834462,4.934473933131,4.96284463026,4.779123493112,4.941642422609,4.828313737302,4.317488113536,4.700480365792,4.653960350158,4.234106504597,3.931825632724,4.812184355372,3.367295829986,4.290459441148,3.496507561466,2.708050201102,3.496507561466,3.713572066704,3.044522437723,2.484906649788,2.282382385677,1.481604540924,4.564348191468,3.178053830348,4.605170185988,2.890371757896,4.615120516841,2.302585092994,3.610917912644,4.007333185232,2.397895272798,3.091042453358,1.38629436112,0.69314718056,4.700480365792,4.753590191106,3.258096538021,3.931825632724,4.700480365792,3.044522437723,4.094344562222,4.595119850135,3.258096538021,3.85014760171,3.637586159726,4.564348191468,4.584967478671,4.653960350158,4.44265125649,4.430816798843,4.369447852467,4.304065093204,4.317488113536,4.418840607797,4.795790545597,4.828313737302,4.770684624466,3.761200115694,2.890371757896,4.234106504597,4.290459441148,3.637586159726,4.343805421854,3.988984046564,3.891820298111,4.844187086459,4.941642422609,5.023880520846,4.406719247264,4.564348191468,4.875197323201,4.927253685157,4.820281565605,4.143134726392,4.007333185232,3.988984046564,5.204006687077,4.691347882229,4.44265125649,4.997212273764
