DISTANCE,AINU,ANDAMAN,ARIKARA,ATAYAL,AUSTRALI,BERG,BURYAT,SAN,DOGON,EASTER I,EGYPT,INUIT,GUAM,HAINAN,MOKAPU,MORIORI,N JAPAN,NORSE,PERU,S JAPAN,SANTA CR,TASMANIA,TAITA,TOLAI,ZALAVAR,ZULU
AINU,0,5979.9082466199,8375.98054515951,3070.31577998124,8733.62747944224,8906.12843759032,2816.12381996246,14118.1014797167,13219.5749559695,13291.1429325108,9419.61753438038,8016.45969126974,3278.52333422837,4068.8337785527,5794.79013813635,10423.5063130714,246.727527406258,7819.92708543785,14875.4162979765,1610.9998426612,7939.28323791704,9452.88587731042,11564.8957824448,5405.02656615585,8774.46580517143,13905.2758641475
ANDAMAN,5979.9082466199,0,13554.607920312,3156.87630966369,7220.45984122601,8122.17106902142,4819.07890618726,8340.84293981695,10839.4221636537,17195.2615947683,6588.69154109896,10975.7204784885,5633.04927885472,2052.49177456728,11423.2452617888,11027.8316790628,5750.99916207562,8362.71747469348,18783.1131647823,4498.41118331151,13807.9532601529,8205.30787836086,6259.08174074864,6808.13236759969,7903.94478895313,7999.91429388733
ARIKARA,8375.98054515951,13554.607920312,0,11383.1178497,14960.2884525142,8041.51757710738,8741.58895449529,14732.0759437509,9209.04862892274,8001.34532548275,10391.9991654261,3706.83597606112,10830.4526625376,12207.075387357,5813.92990444195,12373.1976674241,8531.08914218998,6845.24497068486,6782.68083314429,9968.13450145271,2022.5384005496,14708.2189299465,13935.5547787001,11829.590606204,8183.77077765071,15413.508480925
ATAYAL,3070.31577998124,3156.87630966369,11383.1178497,0,6881.47907099244,9233.07941337752,3454.26428258796,11494.3800991154,13079.9447751912,15053.6107260633,8621.15222766564,10204.508906626,2828.43723413107,1105.40826317583,8267.64638897031,9909.60522351201,2883.41680891799,8747.30548369414,17894.2084420257,1463.64240066311,10990.6906102435,7820.29440128361,9334.42069978427,4697.59789791634,9035.26592796059,11126.601144932
AUSTRALI,8733.62747944224,7220.45984122601,14960.2884525142,6881.47907099244,0,15321.7339126126,10325.1310901214,10327.5563371468,15858.4543978594,10019.179037521,13393.6466267463,16734.3245404292,5472.25802064787,6870.02965410257,9154.3106301018,3865.10323836253,8729.46877067324,15459.6070070636,13540.252719572,7654.05969624051,13015.7409682123,1000.94133193077,10750.263848389,3604.23825524945,15105.2483702831,9647.56221046688
BERG,8906.12843759032,8122.17106902142,8041.51757710738,9233.07941337752,15321.7339126126,0,6290.23436880956,8009.69380044706,4315.17088868178,14686.0996400989,2351.03434568934,4350.75132845242,11711.7305922546,8847.99172861334,12403.9647687959,19121.7481418272,8763.68691423923,1495.35567846828,11026.0335969315,9131.56320463698,9938.78274843587,16272.9925641058,6048.64047244837,13866.3161563247,218.389033095899,8504.24837973504
BURYAT,2816.12381996246,4819.07890618726,8741.58895449529,3454.26428258796,10325.1310901214,6290.23436880956,0,11783.0371193261,10567.6634923585,15687.1669883502,6603.67291298496,6796.59796420143,5449.48593332714,3757.322755934,8267.39934411288,12942.5487705513,2615.91047414902,5466.90227364964,15394.3203574803,2875.83954712607,9174.33595866401,11241.3401664846,9086.34298242753,7650.15336841905,6130.59224338848,11771.8666580839
SAN,14118.1014797167,8340.84293981695,14732.0759437509,11494.3800991154,10327.5563371468,8009.69380044706,11783.0371193261,0,5543.33648610847,12521.91058112,6106.60775619224,11885.3125237897,13527.64042962,10389.0437582456,19481.8400946635,12046.8025023724,13871.9222431384,9502.60853220292,10591.7423151347,12808.6428480041,16541.3057624921,10452.1103957964,2710.93874018546,13288.2515462115,7978.68041175791,681.545423888615
DOGON,13219.5749559695,10839.4221636537,9209.04862892274,13079.9447751912,15858.4543978594,4315.17088868178,10567.6634923585,5543.33648610847,0,11755.2747012959,4467.18379849386,6639.49112904895,15840.5822915215,12354.1822344432,15001.8323923568,16359.4464674539,13078.8138500643,5475.09703910867,7992.08229584638,13330.3632166963,11139.6854314802,15954.0793066344,5427.81011275725,17641.0248922958,4454.76948989724,6220.12356096244
EASTER I,13291.1429325108,17195.2615947683,8001.34532548275,15053.6107260633,10019.179037521,14686.0996400989,15687.1669883502,12521.91058112,11755.2747012959,0,16170.3375943748,11306.890199657,12231.1262540891,15909.0333589182,7519.0211232196,6178.57097808038,13535.6221770106,14252.8640897414,3843.64508157991,14245.8947599567,6882.56972741629,9053.75539315652,15165.6881831355,10618.5921677984,14903.2070937672,12568.3390593188
